"Year","Week","Date & Time","Favorite","Line","Underdog","Total","Game_Type"
"2017","1","9/7 8:30 ET","At New England","-9","Kansas City","42","reg"
"2017","1","9/10 1:00 ET","At Buffalo","-7.5","NY Jets","42","reg"
"2017","1","9/10 1:00 ET","Atlanta","-7","At Chicago","48","reg"
"2017","1","9/10 1:00 ET","At Houston","-5.5","Jacksonville","38","reg"
"2017","1","9/10 1:00 ET","Philadelphia","-1","At Washington","49.5","reg"
"2017","1","9/10 1:00 ET","Arizona","-2","At Detroit","48.5","reg"
"2017","1","9/10 1:00 ET","At Tennessee","-2.5","Oakland","50.5","reg"
"2017","1","9/10 1:00 ET
Postponed","Tampa Bay","-2.5","At Miami","41.5","reg"
"2017","1","9/10 1:00 ET","At Cincinnati","-3","Baltimore","41","reg"
"2017","1","9/10 1:00 ET","Pittsburgh","-10","At Cleveland","47","reg"
"2017","1","9/10 4:05 ET","At LA Rams","-3.5","Indianapolis","41.5","reg"
"2017","1","9/10 4:25 ET","At Green Bay","-2.5","Seattle","49.5","reg"
"2017","1","9/10 4:25 ET","Carolina","-4.5","At San Francisco","45","reg"
"2017","1","9/10 8:30 ET","At Dallas","-6","NY Giants","46.5","reg"
"2017","1","9/11 7:10 ET","At Minnesota","-3","New Orleans","47.5","reg"
"2017","1","9/11 10:20 ET","At Denver","-3","LA Chargers","42","reg"
"2016","1","9/8 8:30 ET","Carolina","-3","At Denver","40.5","reg"
"2016","1","9/11 1:00 ET","At Atlanta","-2.5","Tampa Bay","47","reg"
"2016","1","9/11 1:00 ET","Minnesota","-2.5","At Tennessee","40","reg"
"2016","1","9/11 1:00 ET","At Philadelphia","-3.5","Cleveland","41","reg"
"2016","1","9/11 1:00 ET","Cincinnati","-1","At NY Jets","42","reg"
"2016","1","9/11 1:00 ET","At New Orleans","-3","Oakland","50.5","reg"
"2016","1","9/11 1:00 ET","At Kansas City","-6.5","San Diego","46","reg"
"2016","1","9/11 1:00 ET","At Baltimore","-3","Buffalo","44.5","reg"
"2016","1","9/11 1:00 ET","At Houston","-5.5","Chicago","42.5","reg"
"2016","1","9/11 1:00 ET","Green Bay","-3.5","At Jacksonville","47.5","reg"
"2016","1","9/11 4:05 ET","At Seattle","-10.5","Miami","44","reg"
"2016","1","9/11 4:25 ET","NY Giants","-1","At Dallas","47.5","reg"
"2016","1","9/11 4:25 ET","At Indianapolis","-2.5","Detroit","51.5","reg"
"2016","1","9/11 8:30 ET","At Arizona","-8.5","New England","44","reg"
"2016","1","9/12 7:10 ET","Pittsburgh","-2.5","At Washington","49","reg"
"2016","1","9/12 10:20 ET","Los Angeles","-2.5","At San Francisco","43.5","reg"
"2015","1","9/10 8:30 ET","At New England","-7","Pittsburgh","51","reg"
"2015","1","9/13 1:00 ET","Green Bay","-6.5","At Chicago","48.5","reg"
"2015","1","9/13 1:00 ET","Kansas City","-1","At Houston","40.5","reg"
"2015","1","9/13 1:00 ET","At NY Jets","-3.5","Cleveland","38.5","reg"
"2015","1","9/13 1:00 ET","Indianapolis","-1","At Buffalo","44.5","reg"
"2015","1","9/13 1:00 ET","Miami","-4","At Washington","45.5","reg"
"2015","1","9/13 1:00 ET","Carolina","-3","At Jacksonville","41","reg"
"2015","1","9/13 1:00 ET","Seattle","-3.5","At St. Louis","41","reg"
"2015","1","9/13 4:05 ET","At Arizona","-2.5","New Orleans","48.5","reg"
"2015","1","9/13 4:05 ET","At San Diego","-3.5","Detroit","45.5","reg"
"2015","1","9/13 4:25 ET","At Tampa Bay","-3","Tennessee","40.5","reg"
"2015","1","9/13 4:25 ET","Cincinnati","-3","At Oakland","43","reg"
"2015","1","9/13 4:25 ET","At Denver","-4.5","Baltimore","46.5","reg"
"2015","1","9/13 8:30 ET","At Dallas","-7","NY Giants","52.5","reg"
"2015","1","9/14 7:10 ET","Philadelphia","-3","At Atlanta","56","reg"
"2015","1","9/14 10:20 ET","Minnesota","-2.5","At San Francisco","42.5","reg"
"2014","1","9/4 8:35 ET","At Seattle","-5","Green Bay","47","reg"
"2014","1","9/7 1:00 ET","New Orleans","-3","At Atlanta","51.5","reg"
"2014","1","9/7 1:00 ET","At St. Louis","-3","Minnesota","43.5","reg"
"2014","1","9/7 1:00 ET","At Pittsburgh","-6","Cleveland","41.5","reg"
"2014","1","9/7 1:00 ET","At Philadelphia","-10","Jacksonville","50","reg"
"2014","1","9/7 1:00 ET","At NY Jets","-6.5","Oakland","41.5","reg"
"2014","1","9/7 1:00 ET","At Baltimore","-1","Cincinnati","43.5","reg"
"2014","1","9/7 1:00 ET","At Chicago","-7","Buffalo","47.5","reg"
"2014","1","9/7 1:00 ET","At Houston","-3","Washington","44","reg"
"2014","1","9/7 1:00 ET","At Kansas City","-3","Tennessee","45","reg"
"2014","1","9/7 1:00 ET","New England","-4","At Miami","47.5","reg"
"2014","1","9/7 4:25 ET","At Tampa Bay","-4.5","Carolina","38.5","reg"
"2014","1","9/7 4:25 ET","San Francisco","-3.5","At Dallas","50","reg"
"2014","1","9/7 8:30 ET","At Denver","-8.5","Indianapolis","54","reg"
"2014","1","9/8 7:10 ET","At Detroit","-6.5","NY Giants","46","reg"
"2014","1","9/8 10:25 ET","At Arizona","-3","San Diego","46","reg"
"2013","1","9/5 8:30 ET","At Denver","-7.5","Baltimore","48.5","reg"
"2013","1","9/8 1:00 ET","New England","-10","At Buffalo","51","reg"
"2013","1","9/8 1:00 ET","At Pittsburgh","-6","Tennessee","42","reg"
"2013","1","9/8 1:00 ET","At New Orleans","-3.5","Atlanta","55","reg"
"2013","1","9/8 1:00 ET","Tampa Bay","-4","At NY Jets","39.5","reg"
"2013","1","9/8 1:00 ET","Kansas City","-3.5","At Jacksonville","42.5","reg"
"2013","1","9/8 1:00 ET","At Chicago","-3","Cincinnati","41.5","reg"
"2013","1","9/8 1:00 ET","At Cleveland","-2.5","Miami","41","reg"
"2013","1","9/8 1:00 ET","Seattle","-3","At Carolina","44.5","reg"
"2013","1","9/8 1:00 ET","At Detroit","-4","Minnesota","46.5","reg"
"2013","1","9/8 1:00 ET","At Indianapolis","-11","Oakland","45.5","reg"
"2013","1","9/8 4:25 ET","At St. Louis","-4","Arizona","42.5","reg"
"2013","1","9/8 4:25 ET","At San Francisco","-5.5","Green Bay","47.5","reg"
"2013","1","9/8 8:30 ET","At Dallas","-3.5","NY Giants","50","reg"
"2013","1","9/9 7:10 ET","At Washington","-4","Philadelphia","52.5","reg"
"2013","1","9/9 10:20 ET","Houston","-6","At San Diego","44.5","reg"
"2012","1","9/5 8:30 ET","At NY Giants","-3.5","Dallas","45.5","reg"
"2012","1","9/9 1:00 ET","At Chicago","-10","Indianapolis","42.5","reg"
"2012","1","9/9 1:00 ET","Philadelphia","-9","At Cleveland","42.5","reg"
"2012","1","9/9 1:00 ET","At NY Jets","-3","Buffalo","39","reg"
"2012","1","9/9 1:00 ET","At New Orleans","-8.5","Washington","50","reg"
"2012","1","9/9 1:00 ET","New England","-5.5","At Tennessee","48","reg"
"2012","1","9/9 1:00 ET","At Minnesota","-3.5","Jacksonville","38","reg"
"2012","1","9/9 1:00 ET","At Houston","-13","Miami","41.5","reg"
"2012","1","9/9 1:00 ET","At Detroit","-8.5","St. Louis","46.5","reg"
"2012","1","9/9 1:00 ET","Atlanta","-2.5","At Kansas City","43","reg"
"2012","1","9/9 4:25 ET","At Green Bay","-5","San Francisco","46.5","reg"
"2012","1","9/9 4:25 ET","Carolina","-3","At Tampa Bay","45.5","reg"
"2012","1","9/9 4:25 ET","Seattle","-3","At Arizona","41","reg"
"2012","1","9/9 8:25 ET","At Denver","-2.5","Pittsburgh","45.5","reg"
"2012","1","9/10 7:00 ET","At Baltimore","-7","Cincinnati","43","reg"
"2012","1","9/10 10:15 ET","At Oakland","-1","San Diego","47.5","reg"
"2011","1","9/8 8:30 ET","At Green Bay","-5","New Orleans","47.5","reg"
"2011","1","9/11 1:00 ET","At Baltimore","-1","Pittsburgh","37","reg"
"2011","1","9/11 1:00 ET","At Tampa Bay","-1.5","Detroit","43.5","reg"
"2011","1","9/11 1:00 ET","Atlanta","-2","At Chicago","40.5","reg"
"2011","1","9/11 1:00 ET","At Kansas City","-4","Buffalo","39.5","reg"
"2011","1","9/11 1:00 ET","At Houston","-8.5","Indianapolis","44.5","reg"
"2011","1","9/11 1:00 ET","Philadelphia","-4","At St. Louis","44","reg"
"2011","1","9/11 1:00 ET","At Cleveland","-7","Cincinnati","36.5","reg"
"2011","1","9/11 1:00 ET","Tennessee","-1","At Jacksonville","38","reg"
"2011","1","9/11 4:15 ET","NY Giants","-1","At Washington","40","reg"
"2011","1","9/11 4:15 ET","At Arizona","-6.5","Carolina","37.5","reg"
"2011","1","9/11 4:15 ET","At San Francisco","-6","Seattle","38","reg"
"2011","1","9/11 4:15 ET","At San Diego","-9","Minnesota","44","reg"
"2011","1","9/11 8:25 ET","At NY Jets","-6.5","Dallas","41","reg"
"2011","1","9/12 7:00 ET","New England","-7","At Miami","46.5","reg"
"2011","1","9/12 10:15 ET","At Denver","-3","Oakland","42.5","reg"
"2010","1","9/9 8:30 ET","At New Orleans","-5","Minnesota","49","reg"
"2010","1","9/12 1:00 ET","At NY Giants","-5.5","Carolina","40.5","reg"
"2010","1","9/12 1:00 ET","Miami","-3","At Buffalo","39","reg"
"2010","1","9/12 1:00 ET","Atlanta","-1","At Pittsburgh","39","reg"
"2010","1","9/12 1:00 ET","At Chicago","-6.5","Detroit","44.5","reg"
"2010","1","9/12 1:00 ET","At New England","-5","Cincinnati","45","reg"
"2010","1","9/12 1:00 ET","At Tampa Bay","-3","Cleveland","37","reg"
"2010","1","9/12 1:00 ET","At Jacksonville","-3","Denver","41.5","reg"
"2010","1","9/12 1:00 ET","Indianapolis","-1.5","At Houston","48","reg"
"2010","1","9/12 1:00 ET","At Tennessee","-6.5","Oakland","39.5","reg"
"2010","1","9/12 4:15 ET","Green Bay","-3","At Philadelphia","48","reg"
"2010","1","9/12 4:15 ET","San Francisco","-3","At Seattle","37","reg"
"2010","1","9/12 4:15 ET","Arizona","-3","At St. Louis","39","reg"
"2010","1","9/12 8:20 ET","Dallas","-3.5","At Washington","40","reg"
"2010","1","9/13 7:00 ET","At NY Jets","-1","Baltimore","36","reg"
"2010","1","9/13 10:15 ET","San Diego","-4","At Kansas City","45.5","reg"
"2009","1","9/10 8:30 ET","At Pittsburgh","-6.5","Tennessee","36","reg"
"2009","1","9/13 1:00 ET","At Atlanta","-4","Miami","44","reg"
"2009","1","9/13 1:00 ET","At Baltimore","-13","Kansas City","36.5","reg"
"2009","1","9/13 1:00 ET","Philadelphia","-2.5","At Carolina","43.5","reg"
"2009","1","9/13 1:00 ET","At Cincinnati","-4.5","Denver","41","reg"
"2009","1","9/13 1:00 ET","Minnesota","-4","At Cleveland","40","reg"
"2009","1","9/13 1:00 ET","At Houston","-4.5","NY Jets","44.5","reg"
"2009","1","9/13 1:00 ET","At Indianapolis","-6.5","Jacksonville","45.5","reg"
"2009","1","9/13 1:00 ET","At New Orleans","-14","Detroit","50","reg"
"2009","1","9/13 1:00 ET","Dallas","-5.5","At Tampa Bay","40","reg"
"2009","1","9/13 4:15 ET","At Arizona","-5","San Francisco","46","reg"
"2009","1","9/13 4:15 ET","At NY Giants","-6.5","Washington","37","reg"
"2009","1","9/13 4:15 ET","At Seattle","-7.5","St. Louis","41","reg"
"2009","1","9/13 8:20 ET","At Green Bay","-4.5","Chicago","47","reg"
"2009","1","9/14 7:00 ET","At New England","-13","Buffalo","47.5","reg"
"2009","1","9/14 10:15 ET","San Diego","-10.5","At Oakland","43","reg"
"2008","1","9/4 7:00 ET","At NY Giants","-4.5","Washington","41","reg"
"2008","1","9/7 1:00 ET","Cincinnati","-2","At Baltimore","37.5","reg"
"2008","1","9/7 1:00 ET","NY Jets","-3","At Miami","37","reg"
"2008","1","9/7 1:00 ET","At New England","-16","Kansas City","43.5","reg"
"2008","1","9/7 1:00 ET","At Pittsburgh","-6.5","Houston","43.5","reg"
"2008","1","9/7 1:00 ET","Jacksonville","-3","At Tennessee","37","reg"
"2008","1","9/7 1:00 ET","Detroit","-3","At Atlanta","41","reg"
"2008","1","9/7 1:00 ET","At Buffalo","-1.5","Seattle","37.5","reg"
"2008","1","9/7 1:00 ET","At New Orleans","-3","Tampa Bay","42.5","reg"
"2008","1","9/7 1:00 ET","At Philadelphia","-9","St. Louis","43.5","reg"
"2008","1","9/7 4:15 ET","Dallas","-6","At Cleveland","48.5","reg"
"2008","1","9/7 4:15 ET","At San Diego","-9","Carolina","41","reg"
"2008","1","9/7 4:15 ET","Arizona","-2.5","At San Francisco","42.5","reg"
"2008","1","9/7 8:15 ET","At Indianapolis","-10.5","Chicago","43","reg"
"2008","1","9/8 7:00 ET","At Green Bay","-2.5","Minnesota","37.5","reg"
"2008","1","9/8 10:15 ET","Denver","-3","At Oakland","40.5","reg"
"2007","1","9/6 8:30 ET","At Indianapolis","-5.5","New Orleans","53.5","reg"
"2007","1","9/9 1:00 ET","At Houston","-3","Kansas City","37.5","reg"
"2007","1","9/9 1:00 ET","Denver","-3","At Buffalo","37.5","reg"
"2007","1","9/9 1:00 ET","Pittsburgh","-5.5","At Cleveland","36","reg"
"2007","1","9/9 1:00 ET","At Jacksonville","-7.5","Tennessee","39","reg"
"2007","1","9/9 1:00 ET","At St. Louis","-1.5","Carolina","43","reg"
"2007","1","9/9 1:00 ET","Philadelphia","-3.5","At Green Bay","42","reg"
"2007","1","9/9 1:00 ET","At Minnesota","-3","Atlanta","35.5","reg"
"2007","1","9/9 1:00 ET","At Washington","-3","Miami","34.5","reg"
"2007","1","9/9 1:00 ET","New England","-6.5","At NY Jets","41","reg"
"2007","1","9/9 4:15 ET","At Seattle","-6","Tampa Bay","41","reg"
"2007","1","9/9 4:15 ET","At San Diego","-7","Chicago","42.5","reg"
"2007","1","9/9 4:15 ET","At Oakland","-3","Detroit","39.5","reg"
"2007","1","9/9 8:15 ET","At Dallas","-6.5","NY Giants","45","reg"
"2007","1","9/10 7:00 ET","At Cincinnati","-3","Baltimore","40.5","reg"
"2007","1","9/10 10:15 ET","At San Francisco","-3.5","Arizona","47","reg"
"2006","1","9/7 8:30 ET","At Pittsburgh","-1.5","Miami","34","reg"
"2006","1","9/10 1:00 ET","Denver","-3.5","At St. Louis","45.5","reg"
"2006","1","9/10 1:00 ET","At Tennessee","-3","NY Jets","35.5","reg"
"2006","1","9/10 1:00 ET","At New England","-9.5","Buffalo","41","reg"
"2006","1","9/10 1:00 ET","At Tampa Bay","-3","Baltimore","33.5","reg"
"2006","1","9/10 1:00 ET","At Kansas City","-1","Cincinnati","48.5","reg"
"2006","1","9/10 1:00 ET","Seattle","-6","At Detroit","44","reg"
"2006","1","9/10 1:00 ET","At Carolina","-4.5","Atlanta","38.5","reg"
"2006","1","9/10 1:00 ET","Philadelphia","-6","At Houston","38","reg"
"2006","1","9/10 1:00 ET","At Cleveland","-3","New Orleans","36.5","reg"
"2006","1","9/10 4:15 ET","Dallas","-2","At Jacksonville","36.5","reg"
"2006","1","9/10 4:15 ET","Chicago","-3.5","At Green Bay","34.5","reg"
"2006","1","9/10 4:15 ET","At Arizona","-9.5","San Francisco","43.5","reg"
"2006","1","9/10 8:15 ET","Indianapolis","-3","At NY Giants","48","reg"
"2006","1","9/11 7:00 ET","At Washington","-4","Minnesota","36","reg"
"2006","1","9/11 10:15 ET","San Diego","-3","At Oakland","42","reg"
"2017","2","9/14 8:25 ET","At Cincinnati","-5.5","Houston","38.5","reg"
"2017","2","9/17 1:00 ET","Tennessee","-1.5","At Jacksonville","41.5","reg"
"2017","2","9/17 1:00 ET","At Baltimore","-7.5","Cleveland","39.5","reg"
"2017","2","9/17 1:00 ET","At Carolina","-6.5","Buffalo","43.5","reg"
"2017","2","9/17 1:00 ET","New England","-6","At New Orleans","55.5","reg"
"2017","2","9/17 1:00 ET","Arizona","-7","At Indianapolis","44","reg"
"2017","2","9/17 1:00 ET","At Kansas City","-4.5","Philadelphia","47","reg"
"2017","2","9/17 1:00 ET","At Pittsburgh","-8.5","Minnesota","43","reg"
"2017","2","9/17 1:00 ET","At Tampa Bay","-7","Chicago","44","reg"
"2017","2","9/17 4:05 ET","At LA Chargers","-3.5","Miami","46","reg"
"2017","2","9/17 4:05 ET","At Oakland","-14","NY Jets","44","reg"
"2017","2","9/17 4:25 ET","At LA Rams","-3","Washington","46.5","reg"
"2017","2","9/17 4:25 ET","Dallas","-2.5","At Denver","44","reg"
"2017","2","9/17 4:25 ET","At Seattle","-13.5","San Francisco","41","reg"
"2017","2","9/17 8:30 ET","At Atlanta","-3","Green Bay","55.5","reg"
"2017","2","9/18 8:30 ET","At NY Giants","-3","Detroit","42.5","reg"
"2016","2","9/15 8:25 ET","At Buffalo","PK","NY Jets","40.5","reg"
"2016","2","9/18 1:00 ET","At Detroit","-6","Tennessee","48","reg"
"2016","2","9/18 1:00 ET","At Houston","-1","Kansas City","42","reg"
"2016","2","9/18 1:00 ET","At New England","-5.5","Miami","42","reg"
"2016","2","9/18 1:00 ET","Baltimore","-4.5","At Cleveland","42","reg"
"2016","2","9/18 1:00 ET","At Pittsburgh","-3","Cincinnati","48","reg"
"2016","2","9/18 1:00 ET","At Washington","-3","Dallas","47","reg"
"2016","2","9/18 1:00 ET","At NY Giants","-4","New Orleans","54.5","reg"
"2016","2","9/18 1:00 ET","At Carolina","-12.5","San Francisco","44.5","reg"
"2016","2","9/18 4:05 ET","At Arizona","-7","Tampa Bay","49.5","reg"
"2016","2","9/18 4:05 ET","Seattle","-5.5","At Los Angeles","38","reg"
"2016","2","9/18 4:25 ET","At Denver","-6","Indianapolis","47","reg"
"2016","2","9/18 4:25 ET","At Oakland","-4","Atlanta","48","reg"
"2016","2","9/18 4:25 ET","At San Diego","-3","Jacksonville","47.5","reg"
"2016","2","9/18 8:30 ET","Green Bay","-2","At Minnesota","43","reg"
"2016","2","9/19 8:35 ET","At Chicago","-3","Philadelphia","43","reg"
"2015","2","9/17 8:25 ET","At Kansas City","-3","Denver","42","reg"
"2015","2","9/20 1:00 ET","At Carolina","-3","Houston","41","reg"
"2015","2","9/20 1:00 ET","At New Orleans","-9","Tampa Bay","47","reg"
"2015","2","9/20 1:00 ET","At Pittsburgh","-6","San Francisco","46","reg"
"2015","2","9/20 1:00 ET","At Minnesota","-2.5","Detroit","44","reg"
"2015","2","9/20 1:00 ET","At Buffalo","-1","New England","44.5","reg"
"2015","2","9/20 1:00 ET","Arizona","-2","At Chicago","46","reg"
"2015","2","9/20 1:00 ET","Tennessee","-1","At Cleveland","41","reg"
"2015","2","9/20 1:00 ET","At Cincinnati","-3.5","San Diego","48","reg"
"2015","2","9/20 1:00 ET","St. Louis","-3","At Washington","41","reg"
"2015","2","9/20 1:00 ET","At NY Giants","-2","Atlanta","50","reg"
"2015","2","9/20 4:05 ET","Baltimore","-6","At Oakland","42","reg"
"2015","2","9/20 4:05 ET","Miami","-6","At Jacksonville","42","reg"
"2015","2","9/20 4:25 ET","At Philadelphia","-6.5","Dallas","54","reg"
"2015","2","9/20 8:30 ET","At Green Bay","-3","Seattle","49.5","reg"
"2015","2","9/21 8:30 ET","At Indianapolis","-6","NY Jets","46","reg"
"2014","2","9/11 8:25 ET","At Baltimore","-2.5","Pittsburgh","44.5","reg"
"2014","2","9/14 1:00 ET","At Carolina","-1.5","Detroit","43.5","reg"
"2014","2","9/14 1:00 ET","At Buffalo","-1","Miami","43","reg"
"2014","2","9/14 1:00 ET","At Washington","-5","Jacksonville","43","reg"
"2014","2","9/14 1:00 ET","At Tennessee","-3.5","Dallas","49.5","reg"
"2014","2","9/14 1:00 ET","At NY Giants","-2","Arizona","41.5","reg"
"2014","2","9/14 1:00 ET","New England","-3","At Minnesota","49","reg"
"2014","2","9/14 1:00 ET","New Orleans","-6","At Cleveland","49.5","reg"
"2014","2","9/14 1:00 ET","At Cincinnati","-5.5","Atlanta","49","reg"
"2014","2","9/14 4:05 ET","At Tampa Bay","-4.5","St. Louis","37.5","reg"
"2014","2","9/14 4:05 ET","Seattle","-5","At San Diego","45","reg"
"2014","2","9/14 4:25 ET","Houston","-3","At Oakland","41","reg"
"2014","2","9/14 4:25 ET","At Green Bay","-7.5","NY Jets","46.5","reg"
"2014","2","9/14 4:25 ET","At Denver","-13","Kansas City","49","reg"
"2014","2","9/14 8:30 ET","At San Francisco","-7","Chicago","47.5","reg"
"2014","2","9/15 8:35 ET","At Indianapolis","-3","Philadelphia","54","reg"
"2013","2","9/12 8:25 ET","At New England","-11","NY Jets","43","reg"
"2013","2","9/15 1:00 ET","At Philadelphia","-7.5","San Diego","52.5","reg"
"2013","2","9/15 1:00 ET","At Baltimore","-6.5","Cleveland","43.5","reg"
"2013","2","9/15 1:00 ET","At Houston","-7.5","Tennessee","42","reg"
"2013","2","9/15 1:00 ET","At Indianapolis","-2","Miami","43.5","reg"
"2013","2","9/15 1:00 ET","Carolina","-3.5","At Buffalo","43.5","reg"
"2013","2","9/15 1:00 ET","At Atlanta","-5","St. Louis","47","reg"
"2013","2","9/15 1:00 ET","At Green Bay","-7","Washington","49","reg"
"2013","2","9/15 1:00 ET","At Kansas City","-3","Dallas","45.5","reg"
"2013","2","9/15 1:00 ET","At Chicago","-6","Minnesota","41","reg"
"2013","2","9/15 4:05 ET","New Orleans","-3.5","At Tampa Bay","48.5","reg"
"2013","2","9/15 4:05 ET","Detroit","-2","At Arizona","48","reg"
"2013","2","9/15 4:25 ET","At Oakland","-4","Jacksonville","41","reg"
"2013","2","9/15 4:25 ET","Denver","-3.5","At NY Giants","54","reg"
"2013","2","9/15 8:30 ET","At Seattle","-3","San Francisco","44.5","reg"
"2013","2","9/16 8:40 ET","At Cincinnati","-6.5","Pittsburgh","40","reg"
"2012","2","9/13 8:20 ET","At Green Bay","-5","Chicago","50.5","reg"
"2012","2","9/16 1:00 ET","At NY Giants","-7.5","Tampa Bay","43.5","reg"
"2012","2","9/16 1:00 ET","At New England","-13.5","Arizona","47","reg"
"2012","2","9/16 1:00 ET","Minnesota","-3","At Indianapolis","45.5","reg"
"2012","2","9/16 1:00 ET","New Orleans","-3","At Carolina","53.5","reg"
"2012","2","9/16 1:00 ET","At Buffalo","-3","Kansas City","45","reg"
"2012","2","9/16 1:00 ET","At Philadelphia","-3","Baltimore","47","reg"
"2012","2","9/16 1:00 ET","Oakland","-1.5","At Miami","41","reg"
"2012","2","9/16 1:00 ET","At Cincinnati","-7","Cleveland","39.5","reg"
"2012","2","9/16 1:00 ET","Houston","-6.5","At Jacksonville","40","reg"
"2012","2","9/16 4:05 ET","Dallas","-3","At Seattle","42.5","reg"
"2012","2","9/16 4:05 ET","Washington","-3.5","At St. Louis","42.5","reg"
"2012","2","9/16 4:25 ET","At Pittsburgh","-4.5","NY Jets","43","reg"
"2012","2","9/16 4:25 ET","At San Diego","-6.5","Tennessee","43.5","reg"
"2012","2","9/16 8:25 ET","At San Francisco","-7","Detroit","46","reg"
"2012","2","9/17 8:35 ET","At Atlanta","-3","Denver","50.5","reg"
"2011","2","9/18 1:00 ET","At New Orleans","-5","Chicago","46.5","reg"
"2011","2","9/18 1:00 ET","At Detroit","-8","Kansas City","45","reg"
"2011","2","9/18 1:00 ET","At NY Jets","-9","Jacksonville","38","reg"
"2011","2","9/18 1:00 ET","At Buffalo","-3.5","Oakland","41","reg"
"2011","2","9/18 1:00 ET","At Washington","-4.5","Arizona","45","reg"
"2011","2","9/18 1:00 ET","Baltimore","-5.5","At Tennessee","39","reg"
"2011","2","9/18 1:00 ET","At Pittsburgh","-14","Seattle","40","reg"
"2011","2","9/18 1:00 ET","Green Bay","-10.5","At Carolina","45","reg"
"2011","2","9/18 1:00 ET","At Minnesota","-1","Tampa Bay","41","reg"
"2011","2","9/18 1:00 ET","Cleveland","-1.5","At Indianapolis","39","reg"
"2011","2","9/18 4:05 ET","Dallas","-3","At San Francisco","41","reg"
"2011","2","9/18 4:15 ET","Houston","-3","At Miami","47","reg"
"2011","2","9/18 4:15 ET","At New England","-6.5","San Diego","53.5","reg"
"2011","2","9/18 4:15 ET","At Denver","-3","Cincinnati","40.5","reg"
"2011","2","9/18 8:25 ET","Philadelphia","-2.5","At Atlanta","49.5","reg"
"2011","2","9/19 8:35 ET","At NY Giants","-7","St. Louis","43.5","reg"
"2010","2","9/19 1:00 ET","At Cleveland","-3","Kansas City","38","reg"
"2010","2","9/19 1:00 ET","At Green Bay","-12.5","Buffalo","43","reg"
"2010","2","9/19 1:00 ET","Baltimore","-3","At Cincinnati","39.5","reg"
"2010","2","9/19 1:00 ET","At Tennessee","-6","Pittsburgh","37","reg"
"2010","2","9/19 1:00 ET","Philadelphia","-6.5","At Detroit","41","reg"
"2010","2","9/19 1:00 ET","At Dallas","-7","Chicago","41.5","reg"
"2010","2","9/19 1:00 ET","At Carolina","-4","Tampa Bay","38","reg"
"2010","2","9/19 1:00 ET","At Atlanta","-7","Arizona","43","reg"
"2010","2","9/19 1:00 ET","At Minnesota","-5.5","Miami","41","reg"
"2010","2","9/19 4:05 ET","At Oakland","-3.5","St. Louis","37.5","reg"
"2010","2","9/19 4:05 ET","At Denver","-3","Seattle","41","reg"
"2010","2","9/19 4:15 ET","Houston","-2.5","At Washington","43","reg"
"2010","2","9/19 4:15 ET","At San Diego","-7","Jacksonville","45","reg"
"2010","2","9/19 4:15 ET","New England","-3","At NY Jets","39.5","reg"
"2010","2","9/19 8:20 ET","At Indianapolis","-4.5","NY Giants","48","reg"
"2010","2","9/19 8:20 ET","New Orleans","-4.5","At San Francisco","44","reg"
"2009","2","9/20 1:00 ET","At Kansas City","-2.5","Oakland","39.5","reg"
"2009","2","9/20 1:00 ET","At Tennessee","-7","Houston","41","reg"
"2009","2","9/20 1:00 ET","New England","-3.5","At NY Jets","45","reg"
"2009","2","9/20 1:00 ET","At Green Bay","-7.5","Cincinnati","42","reg"
"2009","2","9/20 1:00 ET","Minnesota","-10","At Detroit","45.5","reg"
"2009","2","9/20 1:00 ET","New Orleans","-3","At Philadelphia","46","reg"
"2009","2","9/20 1:00 ET","At Atlanta","-6","Carolina","43","reg"
"2009","2","9/20 1:00 ET","At Washington","-9.5","St. Louis","37","reg"
"2009","2","9/20 1:00 ET","At Jacksonville","-3","Arizona","44","reg"
"2009","2","9/20 4:05 ET","At San Francisco","-1","Seattle","39.5","reg"
"2009","2","9/20 4:05 ET","At Buffalo","-4","Tampa Bay","42","reg"
"2009","2","9/20 4:15 ET","At Denver","-3","Cleveland","38.5","reg"
"2009","2","9/20 4:15 ET","At San Diego","-1","Baltimore","41","reg"
"2009","2","9/20 4:15 ET","Pittsburgh","-3","At Chicago","38.5","reg"
"2009","2","9/20 8:20 ET","At Dallas","-3","NY Giants","45","reg"
"2009","2","9/21 8:35 ET","Indianapolis","-3","At Miami","41.5","reg"
"2008","2","9/14 1:00 ET","At Kansas City","-3.5","Oakland","36","reg"
"2008","2","9/14 1:00 ET","At Cincinnati","PK","Tennessee","37","reg"
"2008","2","9/14 1:00 ET","Indianapolis","-1.5","At Minnesota","43.5","reg"
"2008","2","9/14 1:00 ET","At Washington","-1","New Orleans","43","reg"
"2008","2","9/14 1:00 ET","Green Bay","-3","At Detroit","46.5","reg"
"2008","2","9/14 1:00 ET","At Carolina","-3","Chicago","37","reg"
"2008","2","9/14 1:00 ET","NY Giants","-8.5","At St. Louis","43.5","reg"
"2008","2","9/14 1:00 ET","At Jacksonville","-4.5","Buffalo","37","reg"
"2008","2","9/14 4:05 ET","At Tampa Bay","-7","Atlanta","37.5","reg"
"2008","2","9/14 4:05 ET","At Seattle","-6.5","San Francisco","38","reg"
"2008","2","9/14 4:15 ET","At Arizona","-6.5","Miami","40.5","reg"
"2008","2","9/14 4:15 ET","New England","-1","At NY Jets","37.5","reg"
